Assignment;Type;Student;Compilation;PartA;PartB;PartC;PartD;Main;BaseScore;MaxBaseScore;Bonus;TotalScore;Percentage;Comments
LW06 Library Exam;Exam;S_01;0;0;0;0;0;0;0;33;0;0;0%;
LW06 Library Exam;Exam;S_02;3;8;6;9;4;0;30;33;0;30;91%;
LW06 Library Exam;Exam;S_03;4;8;0;2;0;0;14;33;0;14;42%;
LW06 Library Exam;Exam;S_04;0;0;0;0;0;0;0;33;0;0;0%;
LW06 Library Exam;Exam;S_05;3;8;6;9;4;0;30;33;0;30;91%;
LW06 Library Exam;Exam;S_06;4;7;5;7;4;1;28;33;0;28;85%;
LW06 Library Exam;Exam;S_07;3;8;6;9;4;0;30;33;0;30;91%;
LW06 Library Exam;Exam;S_08;3;8;3;7;4;0;25;33;0;25;76%;
LW06 Library Exam;Exam;S_09;0;0;0;2;3;0;5;33;0;5;15%;
LW06 Library Exam;Exam;S_10;3;8;6;8;4;0;29;33;0;29;88%;
LW06 Library Exam;Exam;S_11;3;7;6;7;4;0;27;33;0;27;82%;
LW06 Library Exam;Exam;S_12;0;0;0;0;0;0;0;33;0;0;0%;
LW06 Library Exam;Exam;S_13;3;1;0;2;4;1;11;33;0;11;33%;
LW06 Library Exam;Exam;S_14;4;8;4;7;4;0;27;33;0;27;82%;
LW06 Library Exam;Exam;S_15;3;8;3;9;4;0;27;33;4;31;94%;
LW06 Library Exam;Exam;S_16;2;5;3;2;4;0;16;33;0;16;48%;
LW06 Library Exam;Exam;S_17;0;0;0;0;0;0;0;33;0;0;0%;
LW06 Library Exam;Exam;S_18;3;8;5;8;4;0;28;33;0;28;85%;
LW06 Library Exam;Exam;S_19;3;8;0;7;0;0;18;33;0;18;55%;
LW06 Library Exam;Exam;S_20;4;7;6;7;0;0;24;33;0;24;73%;
LW06 Library Exam;Exam;S_21;3;8;4;9;3;0;27;33;0;27;82%;
LW06 Library Exam;Exam;S_22;1;3;3;2;4;0;13;33;0;13;39%;
LW06 Library Exam;Exam;S_23;4;8;5;9;4;0;30;33;0;30;91%;
LW06 Library Exam;Exam;S_24;1;2;1;2;4;0;10;33;0;10;30%;
LW06 Library Exam;Exam;S_25;0;0;0;0;0;0;0;33;0;0;0%;
