Student,Compilation,PartA,PartB,PartC,PartD,Main,BaseScore,Bonus,TotalScore,Percentage
S_01,0,0,0,0,0,0,0,0,0,0.00
S_02,3,8,6,9,4,0,30,0,30,90.91
S_03,4,8,0,2,0,0,14,0,14,42.42
S_04,0,0,0,0,0,0,0,0,0,0.00
S_05,3,8,6,9,4,0,30,0,30,90.91
S_06,4,7,5,7,4,1,28,0,28,84.85
S_07,3,8,6,9,4,0,30,0,30,90.91
S_08,3,8,3,7,4,0,25,0,25,75.76
S_09,0,0,0,2,3,0,5,0,5,15.15
S_10,3,8,6,8,4,0,29,0,29,87.88
S_11,3,7,6,7,4,0,27,0,27,81.82
S_12,0,0,0,0,0,0,0,0,0,0.00
S_13,3,1,0,2,4,1,11,0,11,33.33
S_14,4,8,4,7,4,0,27,0,27,81.82
S_15,3,8,3,9,4,0,27,4,31,93.94
S_16,2,5,3,2,4,0,16,0,16,48.48
S_17,0,0,0,0,0,0,0,0,0,0.00
S_18,3,8,5,8,4,0,28,0,28,84.85
S_19,3,8,0,7,0,0,18,0,18,54.55
S_20,4,7,6,7,0,0,24,0,24,72.73
S_21,3,8,4,9,3,0,27,0,27,81.82
S_22,1,3,3,2,4,0,13,0,13,39.39
S_23,4,8,5,9,4,0,30,0,30,90.91
S_24,1,2,1,2,4,0,10,0,10,30.30
S_25,0,0,0,0,0,0,0,0,0,0.00
