Assignment;Type;Student;BaseScore;MaxBaseScore;TotalScore;Percentage;Comments
LW06 Library Exam Theory;Exam;S_01;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_02;7;9;7;78%;
LW06 Library Exam Theory;Exam;S_03;7;9;7;78%;
LW06 Library Exam Theory;Exam;S_04;4;9;4;44%;
LW06 Library Exam Theory;Exam;S_05;3;9;3;33%;
LW06 Library Exam Theory;Exam;S_06;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_07;6;9;6;67%;
LW06 Library Exam Theory;Exam;S_08;6;9;6;67%;
LW06 Library Exam Theory;Exam;S_09;7;9;7;78%;
LW06 Library Exam Theory;Exam;S_10;9;9;9;100%;
LW06 Library Exam Theory;Exam;S_11;9;9;9;100%;
LW06 Library Exam Theory;Exam;S_12;4;9;4;44%;
LW06 Library Exam Theory;Exam;S_13;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_14;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_15;5;9;5;56%;
LW06 Library Exam Theory;Exam;S_16;9;9;9;100%;
LW06 Library Exam Theory;Exam;S_17;5;9;5;56%;
LW06 Library Exam Theory;Exam;S_18;6;9;6;67%;
LW06 Library Exam Theory;Exam;S_19;4;9;4;44%;
LW06 Library Exam Theory;Exam;S_20;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_21;6;9;6;67%;
LW06 Library Exam Theory;Exam;S_22;5;9;5;56%;
LW06 Library Exam Theory;Exam;S_23;8;9;8;89%;
LW06 Library Exam Theory;Exam;S_24;5;9;5;56%;
LW06 Library Exam Theory;Exam;S_25;5;9;5;56%;
