Student,Compilation,PartA,PartB,PartC,PartD,Main,BaseScore,Bonus,TotalScore,Percentage
S0008,4,8,6,9,4,2,33,0,33,100.00
S0001,4,0,0,0,0,2,6,0,6,18.18
S0006,4,7,5,9,4,2,31,0,31,93.94
S0007,0,8,6,9,4,2,29,0,29,87.88
S0009,0,0,0,0,0,2,2,0,2,6.06
S0013,0,0,0,0,0,0,0,0,0,0.00
S0014,4,8,6,7,4,0,29,0,29,87.88
S0022,0,0,0,0,0,0,0,0,0,0.00
S0023,4,8,5,9,4,0,30,0,30,90.91
S0015,4,8,6,9,4,2,33,4,37,112.12
S0005,4,8,6,9,4,2,33,0,33,100.00
S0002,4,8,6,9,4,2,33,0,33,100.00
S0003,4,8,4,4,2,0,22,0,22,66.67
S0004,0,0,0,0,0,2,2,0,2,6.06
S0017,0,0,0,0,0,2,2,0,2,6.06
S0010,4,8,6,9,4,2,33,0,33,100.00
S0019,4,8,0,7,2,2,23,0,23,69.70
S0021,4,8,6,9,4,2,33,0,33,100.00
S0020,4,7,6,7,2,0,26,0,26,78.79
S0018,4,8,6,9,4,2,33,0,33,100.00
S0011,4,7,6,9,4,2,32,0,32,96.97
S0016,0,5,4,2,2,0,13,0,13,39.39
